time,ref_x,x,ref_y,y,ref_z,z,ref_u,u,ref_v,v,ref_w,w,ref_phi,phi,ref_theta,theta,ref_psi,psi,thrust
2.9,1.65644,1.57104,-0.058874,-0.20799,1,0.943814,0.358874,0.604414,1.45644,1.47811,0,0.026761,0.0114219,-0.0100014,0.185977,0.177018,2.87,2.42523,0.206353
2.95,1.67255,1.60425,0.014366,-0.142693,1,0.944314,0.285634,0.545128,1.47255,1.49187,0,0.0262025,0.0132095,-0.00697586,0.18173,0.178019,2.92,2.47243,0.206894
3,1.68499,1.63984,0.08832,-0.0627246,1,0.944635,0.21168,0.458869,1.48499,1.51533,0,0.0150403,0.0126785,-0.0129587,0.190517,0.181249,2.97,2.53102,0.207793
3.05,1.69371,1.66428,0.162803,0.00073463,1,0.944669,0.137197,0.401194,1.49371,1.53253,0,0.0110859,0.0142738,-0.0135653,0.185752,0.186299,3.02,2.57431,0.209068
3.1,1.6987,1.68697,0.237629,0.0695543,1,0.94414,0.062371,0.31369,1.4987,1.54853,0,0.00329155,0.0177629,-0.00783005,0.193129,0.19078,3.07,2.62275,0.20976
3.15,1.69995,1.70748,0.312611,0.144192,1,0.943644,-0.012611,0.246268,1.49995,1.55178,0,-0.0015635,0.018302,-0.00948862,0.188098,0.191291,3.12,2.67529,0.210896
3.2,1.69744,1.72274,0.387561,0.214874,1,0.943243,-0.087561,0.147411,1.49744,1.55839,0,0.00153406,0.017209,-0.0113345,0.186575,0.193622,-3.11319,2.72256,0.210739
3.25,1.6912,1.73431,0.462293,0.28631,1,0.94315,-0.162293,0.0805341,1.4912,1.55724,0,0.0115396,0.0198041,-0.0124212,0.191605,0.19403,-3.06318,2.76923,0.209466
3.3,1.68122,1.74191,0.536619,0.358425,1,0.94355,-0.236619,-0.0355275,1.48122,1.55559,0,0.0238723,0.0201225,-0.00857749,0.199658,0.197634,-3.01319,2.81793,0.209291
3.35,1.66754,1.74619,0.610353,0.4457,1,0.944759,-0.310353,-0.128806,1.46754,1.55716,0,0.0255756,0.0211516,-0.00581014,0.196093,0.202011,-2.96319,2.8757,0.207898
3.4,1.6502,1.74546,0.683312,0.518457,1,0.945608,-0.383312,-0.190985,1.4502,1.54804,0,0.0301002,0.0235141,-0.0106249,0.202746,0.20288,-2.91318,2.92218,0.207875
3.45,1.62923,1.74051,0.755312,0.596533,1,0.946617,-0.455312,-0.287528,1.42923,1.53434,0,0.0271652,0.0224615,-0.00664654,0.198399,0.209553,-2.86319,2.97414,0.207634
3.5,1.60468,1.73248,0.826175,0.664728,1,0.947284,-0.526175,-0.354864,1.40468,1.531,0,0.0233199,0.0260902,-0.00594605,0.204796,0.206899,-2.81318,3.0184,0.2077
3.55,1.57663,1.7202,0.895722,0.737659,1,0.947931,-0.595722,-0.406637,1.37663,1.51072,0,0.0207971,0.0225945,-0.00610946,0.197491,0.209579,-2.76319,3.06641,0.208309
3.6,1.54514,1.70385,0.963781,0.810221,1,0.948246,-0.663781,-0.504768,1.34514,1.48821,0,0.0107998,0.021759,-0.0060198,0.192998,0.211878,-2.71319,3.11501,0.20978
3.65,1.51028,1.68209,1.03018,0.886952,1,0.948049,-0.73018,-0.617261,1.31028,1.45905,0,-0.00233342,0.0229722,-0.000256232,0.196515,0.206316,-2.66318,-3.11954,0.210074
3.7,1.47215,1.65412,1.09475,0.967692,1,0.94707,-0.794754,-0.661873,1.27215,1.43395,0,-0.00610212,0.0220046,0.00185917,0.191658,0.206541,-2.61319,-3.06448,0.211696
3.75,1.43084,1.62537,1.15734,1.03775,1,0.945871,-0.857342,-0.773162,1.23084,1.39264,0,-0.0161607,0.021158,0.00178985,0.195309,0.204445,-2.56318,-3.01835,0.212659
3.8,1.38645,1.59292,1.21779,1.10688,1,0.945062,-0.917787,-0.82805,1.18645,1.36291,0,-0.0115965,0.0205088,0.00374892,0.188687,0.205365,-2.51319,-2.96707,0.21253
3.85,1.3391,1.5566,1.27594,1.17469,1,0.944093,-0.975938,-0.936661,1.1391,1.30559,0,-0.0101387,0.0207077,0.00520632,0.195189,0.20193,-2.46319,-2.91824,0.212605
3.9,1.2889,1.51957,1.33165,1.23645,1,0.943478,-1.03165,-0.961827,1.0889,1.29578,0,-0.00437162,0.0168708,0.00579278,0.193945,0.201291,-2.41318,-2.87163,0.211759
3.95,1.23598,1.47362,1.38478,1.30551,1,0.942774,-1.08478,-1.05735,1.03598,1.22173,0,-0.00513059,0.0156465,0.00788044,0.18683,0.208355,-2.36319,-2.81969,0.211976
4,1.18047,1.4269,1.4352,1.36838,1,0.942101,-1.1352,-1.15494,0.980465,1.15686,0,-0.0115245,0.0136196,0.00385572,0.193887,0.205147,-2.31319,-2.7702,0.212872
4.05,1.1225,1.36647,1.48279,1.44125,1,0.94131,-1.18279,-1.18381,0.922504,1.1231,0,-0.00948676,0.0138868,-0.000794575,0.18841,0.201798,-2.26319,-2.71346,0.212667
4.1,1.06224,1.31269,1.52742,1.49955,1,0.940429,-1.22742,-1.26824,0.862236,1.05007,0,-0.0131432,0.0125014,-0.00380753,0.195871,0.195244,-2.21319,-2.66255,0.213188
4.15,0.999813,1.25622,1.56898,1.55552,1,0.939537,-1.26898,-1.29442,0.799813,1.01312,0,-0.0120652,0.0208191,-0.00471059,0.189931,0.196624,-2.16318,-2.61441,0.212942
4.2,0.935391,1.19709,1.60736,1.60935,1,0.938538,-1.30736,-1.37213,0.735391,0.935065,0,-0.0201607,0.0124057,-0.0011905,0.196267,0.199384,-2.11319,-2.56733,0.213563
4.25,0.869131,1.13513,1.64248,1.66042,1,0.937426,-1.34248,-1.39303,0.669131,0.890457,0,-0.0175613,0.00920144,-0.00391256,0.194525,0.199812,-2.06318,-2.51555,0.21402
4.3,0.801199,1.0707,1.67425,1.70876,1,0.936459,-1.37425,-1.46072,0.601199,0.804388,0,-0.0137223,0.00858159,-0.00740987,0.20366,0.200198,-2.01319,-2.46713,0.214162
4.35,0.731764,0.999577,1.70258,1.75718,1,0.935696,-1.40258,-1.47724,0.531764,0.758861,0,-0.00922151,0.00910015,-0.0100754,0.199218,0.200717,-1.96319,-2.41676,0.213228
4.4,0.660999,0.920965,1.7274,1.80474,1,0.935203,-1.4274,-1.53422,0.460999,0.667065,0,-0.00108248,0.00799615,-0.00985209,0.208389,0.200963,-1.91318,-2.36082,0.213032
4.45,0.589083,0.849884,1.74866,1.84321,1,0.93517,-1.44866,-1.54977,0.389083,0.619835,0,0.000728559,0.00896438,-0.0109746,0.204295,0.206038,-1.86319,-2.31076,0.21227
4.5,0.516194,0.781773,1.76629,1.87632,1,0.935134,-1.46629,-1.58881,0.316194,0.522415,0,0.0051072,0.0119808,-0.00327666,0.210365,0.205355,-1.81319,-2.26876,0.211445
4.55,0.442514,0.702442,1.78027,1.91049,1,0.935069,-1.48027,-1.61368,0.242514,0.432509,0,0.00608276,0.0115803,0.00158835,0.209121,0.206036,-1.76319,-2.22064,0.211754
4.6,0.368229,0.631391,1.79054,1.93672,1,0.935566,-1.49054,-1.62941,0.168229,0.365919,0,0.00930525,0.0077933,-0.00811723,0.206132,0.211313,-1.71318,-2.16869,0.211316
4.65,0.293523,0.549481,1.79708,1.96314,1,0.935312,-1.49708,-1.64269,0.093523,0.268249,0,0.00964717,0.01057,0.00487697,0.212552,0.225434,-1.66319,-2.11809,0.212208
4.7,0.218583,0.460672,1.79988,1.98608,1,0.935407,-1.49988,-1.65453,0.018583,0.203762,0,0.0055392,0.0103365,0.0018443,0.20763,0.224651,-1.61319,-2.06616,0.212536
4.75,0.143597,0.376056,1.79894,2.00316,1,0.935224,-1.49894,-1.65264,-0.056403,0.0832689,0,0.00205736,0.013546,6.05695e-05,0.213558,0.224045,-1.56319,-2.01669,0.213016
4.8,0.068752,0.296028,1.79425,2.0151,1,0.934844,-1.49425,-1.66221,-0.131248,0.0332861,0,-0.00294628,0.0131208,0.00399146,0.207441,0.232316,-1.51319,-1.96868,0.213804
4.85,-0.005766,0.215596,1.78582,2.02269,1,0.933973,-1.48582,-1.65333,-0.205766,-0.0688925,0,-0.00613567,0.015893,0.00302666,0.213039,0.232759,-1.46318,-1.92045,0.214524
4.9,-0.079769,0.139969,1.77368,2.0258,1,0.933253,-1.47368,-1.65482,-0.279769,-0.138401,0,-0.00891386,0.0156131,0.00986889,0.207084,0.226482,-1.41318,-1.87478,0.214658
4.95,-0.153072,0.058849,1.75785,2.02545,1,0.932553,-1.45785,-1.63106,-0.353072,-0.258844,0,-0.00799525,0.0140102,0.0185154,0.210761,0.223126,-1.36319,-1.8314,0.214716
5,-0.225493,-0.0278437,1.73839,2.02018,1,0.932013,-1.43839,-1.63513,-0.425493,-0.305472,0,-0.0100277,0.0152779,0.0122164,0.208475,0.219601,-1.31319,-1.77866,0.214621
5.05,-0.296851,-0.124958,1.71532,2.00872,1,0.931094,-1.41532,-1.59857,-0.496851,-0.42729,0,-0.00577855,0.0165882,0.0130294,0.201313,0.215567,-1.26319,-1.72512,0.213874
5.1,-0.366967,-0.200098,1.68872,1.99563,1,0.930616,-1.38872,-1.57799,-0.566967,-0.528987,0,-0.00544368,0.0175202,0.0145324,0.208544,0.213227,-1.21318,-1.67954,0.213833
5.15,-0.435665,-0.279869,1.65865,1.97756,1,0.93016,-1.35865,-1.55736,-0.635665,-0.575323,0,-0.00164081,0.0178625,0.00860749,0.204532,0.213931,-1.16318,-1.63138,0.213923
5.2,-0.502775,-0.363997,1.62518,1.95397,1,0.929396,-1.32518,-1.5182,-0.702775,-0.696448,0,-0.00590027,0.0173164,0.0201362,0.207226,0.212577,-1.11318,-1.58132,0.214307
5.25,-0.568128,-0.442027,1.5884,1.92738,1,0.928741,-1.2884,-1.48655,-0.768128,-0.758106,0,-0.00936853,0.0184981,0.0222463,0.212403,0.218959,-1.06319,-1.53311,0.214465
5.3,-0.631562,-0.518907,1.5484,1.89654,1,0.928319,-1.2484,-1.45201,-0.831562,-0.858999,0,-0.0147164,0.0142341,0.0142635,0.205638,0.218261,-1.01319,-1.48446,0.215243
5.35,-0.692916,-0.594164,1.50528,1.86191,1,0.927481,-1.20528,-1.40962,-0.892916,-0.922431,0,-0.012102,0.01365,0.0212527,0.196607,0.21204,-0.963185,-1.43704,0.215221
5.4,-0.752039,-0.677794,1.45915,1.81773,1,0.927574,-1.15915,-1.35828,-0.952039,-1.01143,0,-0.00939032,0.0144276,0.00762503,0.204418,0.212571,-0.913185,-1.38315,0.214833
5.45,-0.808783,-0.749583,1.41012,1.77449,1,0.927228,-1.11012,-1.3324,-1.00878,-1.05827,0,-0.00911804,0.0121975,0.0143401,0.199895,0.212009,-0.863185,-1.3332,0.214778
5.5,-0.863005,-0.823857,1.35831,1.72465,1,0.927174,-1.05831,-1.26962,-1.063,-1.15261,0,-0.0145943,0.0117911,0.00616988,0.204236,0.210891,-0.813185,-1.28399,0.214529
5.55,-0.91457,-0.886927,1.30386,1.67776,1,0.927208,-1.00386,-1.22555,-1.11457,-1.20903,0,-0.0221146,0.00965667,0.00204082,0.195971,0.213128,-0.763185,-1.23893,0.216483
5.6,-0.963349,-0.956607,1.2469,1.62052,1,0.926919,-0.9469,-1.1463,-1.16335,-1.2822,0,-0.0102987,0.0117028,0.00819488,0.203848,0.208523,-0.713185,-1.18599,0.215764
5.65,-1.00922,-1.01939,1.18757,1.56365,1,0.927109,-0.887573,-1.07061,-1.20922,-1.34138,0,0.00712134,0.00702438,0.0156668,0.201848,0.206065,-0.663185,-1.13628,0.213755
5.7,-1.05207,-1.07999,1.12603,1.50323,1,0.928099,-0.826028,-1.02105,-1.25207,-1.38987,0,0.0157539,0.00886431,0.00921581,0.198291,0.204654,-0.613185,-1.08516,0.211393
5.75,-1.09179,-1.14138,1.06242,1.43624,1,0.928803,-0.762419,-0.935418,-1.29179,-1.43359,0,0.0199591,0.00810226,0.0117778,0.206684,0.205565,-0.563185,-1.03623,0.21132
5.8,-1.12828,-1.20331,0.996903,1.36153,1,0.929967,-0.696903,-0.902003,-1.32828,-1.46089,0,0.0205107,0.0105079,0.00881981,0.206044,0.209649,-0.513185,-0.980511,0.210683
5.85,-1.16145,-1.25455,0.929646,1.29281,1,0.930597,-0.629646,-0.846782,-1.36145,-1.50043,0,0.018202,0.00997626,0.0109636,0.209817,0.208791,-0.463185,-0.932428,0.210845
5.9,-1.19122,-1.29951,0.860815,1.22657,1,0.931238,-0.560815,-0.760542,-1.39122,-1.54424,0,0.0144796,0.0106113,0.0073457,0.207559,0.210857,-0.413185,-0.886513,0.211234
5.95,-1.21751,-1.34748,0.790582,1.14839,1,0.931561,-0.490582,-0.647047,-1.41751,-1.59349,0,0.00594408,0.0104506,0.00974764,0.210801,0.213284,-0.363185,-0.833432,0.211819
6,-1.24026,-1.38625,0.719123,1.07795,1,0.931716,-0.419123,-0.605953,-1.44026,-1.61132,0,0.00657102,0.00824808,0.0115665,0.208513,0.209107,-0.313185,-0.790223,0.212226
6.05,-1.2594,-1.42901,0.646617,0.990076,1,0.932046,-0.346617,-0.491135,-1.4594,-1.64926,0,0.00597377,0.00744963,0.00885356,0.213211,0.210769,-0.263185,-0.736138,0.212205
6.1,-1.2749,-1.46707,0.573244,0.899974,1,0.932452,-0.273244,-0.448603,-1.4749,-1.6667,0,0.00585434,0.00842109,0.00615296,0.210168,0.212287,-0.213185,-0.68399,0.212382
6.15,-1.28672,-1.4949,0.499188,0.824224,1,0.933113,-0.199188,-0.329184,-1.48672,-1.69377,0,0.00838105,0.00820475,0.00920223,0.214647,0.210811,-0.163185,-0.637873,0.211987
6.2,-1.29481,-1.51897,0.424634,0.747134,1,0.933739,-0.124634,-0.282911,-1.49481,-1.70172,0,0.0138227,0.00969914,0.00659716,0.212724,0.211923,-0.113185,-0.592802,0.211242
6.25,-1.29917,-1.54339,0.349769,0.652367,1,0.934352,-0.049769,-0.158439,-1.49917,-1.72027,0,0.00521672,0.00845392,0.00827815,0.216602,0.211104,-0.063185,-0.536988,0.211398
6.3,-1.29979,-1.55972,0.274779,0.573409,1,0.934538,0.025221,-0.0453201,-1.49979,-1.73417,0,0.00432752,0.00763945,0.0164457,0.209654,0.208785,-0.013185,-0.495045,0.211705
6.35,-1.29665,-1.57395,0.199853,0.481981,1,0.935125,0.100147,0.0121324,-1.49665,-1.73335,0,0.00196964,0.00607536,0.0108259,0.205968,0.208114,0.036815,-0.44369,0.212363
6.4,-1.28978,-1.58423,0.125176,0.378518,1,0.935437,0.174824,0.123101,-1.48978,-1.7289,0,-0.00371172,0.00818167,0.00913443,0.20976,0.207231,0.086815,-0.38668,0.212647
6.45,-1.27918,-1.58805,0.050937,0.29759,1,0.935771,0.249063,0.180545,-1.47918,-1.72571,0,-0.00345821,0.00684746,0.0102584,0.207117,0.207811,0.136815,-0.340984,0.212884
6.5,-1.26488,-1.58823,-0.02268,0.222359,1,0.936113,0.32268,0.295055,-1.46488,-1.70927,0,-0.00222105,0.00875228,0.00744489,0.211711,0.209927,0.186815,-0.29961,0.212288
6.55,-1.24692,-1.58328,-0.09549,0.118327,1,0.936585,0.39549,0.366768,-1.44692,-1.70177,0,-0.00277784,0.00868287,0.00947696,0.219322,0.211647,0.236815,-0.240769,0.212684
6.6,-1.22535,-1.5744,-0.167312,0.0318147,1,0.936933,0.467312,0.464586,-1.42535,-1.67744,0,-0.0061385,0.00911312,0.00777191,0.211369,0.211191,0.286815,-0.194062,0.212928
6.65,-1.20021,-1.56137,-0.237966,-0.0541061,1,0.937297,0.537966,0.521785,-1.40021,-1.66239,0,-0.00939367,0.00560456,0.0104096,0.208168,0.212203,0.336815,-0.143128,0.213627
6.7,-1.17158,-1.54413,-0.307275,-0.13945,1,0.937751,0.607275,0.640843,-1.37157,-1.62514,0,-0.0143044,0.00688712,0.00558249,0.215512,0.211841,0.386815,-0.0970566,0.213733
